participant_id,parameter,posterior_mean,hdi_low,hdi_high
P083,omega_2,-2.710052049326613,-3.1896925596514984,-2.247673031515413
P084,omega_2,-4.585549489490464,-141.65358979878198,112.46476682414968
P085,omega_2,-9.284246015499747,-617.9278375078521,502.0453256403196
P086,omega_2,-4.17115125393549,-238.3652689718751,245.45364641297974
P087,omega_2,-4.400456800714828,-4.881621489781571,-3.9772851378079483
P088,omega_2,-4.436263767500759,-4.8109222729606715,-4.106708826873691
P089,omega_2,-4.274694109094116,-4.713376738773213,-3.800397506346328
P090,omega_2,7.632412254342709,-913.7322038832788,1019.1250518615842
P091,omega_2,-4.602653019416683,-24.228910424596407,13.457659261405249
P092,omega_2,-2.667834833651654,-7.2438310727464925,1.9969556288480277
P093,omega_2,-4.0957073655781375,-4.411482787468577,-3.7326618427597498
P094,omega_2,-4.249899908913321,-4.562620621170981,-3.9569612224845017
P095,omega_2,-3.9405669942250356,-4.362894378430951,-3.5256224873239077
P096,omega_2,-14.996031982121675,-1003.4889944958063,922.7933906255299
P097,omega_2,-14.503340032664914,-538.9546442691561,525.1124715986057
P098,omega_2,-2.7146709452569846,-3.327056198543823,-2.2331866905185622
P099,omega_2,-2.8572049895561253,-3.3764564280714837,-2.348197232832476
P100,omega_2,-2.5700769165216566,-3.1322190217037704,-2.0583559211493885
P101,omega_2,-8.43680378086377,-567.8910073214277,510.7720895933039
P102,omega_2,-2.6036105255450095,-3.035006617618749,-2.1195803471971804
P103,omega_2,-8.420618187549993,-622.0645635527867,651.742701464241
P104,omega_2,-2.6338746054710467,-314.1957975867467,342.9046592234578
P105,omega_2,-2.7546668125573834,-3.2308729564858494,-2.2661813095506
P106,omega_2,-2.5264515869811897,-3.105397001590483,-2.060390089305712
P107,omega_2,-1.4155683974823152,-914.3943710605264,982.2236469699654
P108,omega_2,-4.345064156358269,-4.758452418952557,-3.950597232043341
P109,omega_2,-3.6884720688433594,-4.025017040662307,-3.263157272096849
P110,omega_2,-3.610714917675331,-120.66389328569915,110.03326950529467
P111,omega_2,-2.5240375290507857,-10.032206378650915,4.985197689968916
P112,omega_2,-2.7098473052760856,-3.1579935579908143,-2.153913200303605
P113,omega_2,-3.857717316388323,-4.218391728880955,-3.5136187270225223
P114,omega_2,-69.46007880367831,-2017.600801876194,2390.9399149635274
P115,omega_2,0.39907423223671706,-136.98626607248224,138.9598014654309
P116,omega_2,10.218334932519172,-611.1205582022882,681.6722785085249
P117,omega_2,13.189825677741819,-638.04314476423,543.95581390693
P118,omega_2,-3.4215702985117207,-3.9083793768333472,-2.924095621703562
P119,omega_2,-4.480453033957539,-4.859079710531329,-4.123372681519132
P120,omega_2,-3.180983386390743,-3.841694749113127,-2.599404487471067
P121,omega_2,-0.9911749003178848,-459.4814216156559,484.3189634059163
P122,omega_2,-4.167443995491583,-52.62892091580914,44.71115713680502
P123,omega_2,-33.10332458198221,-1059.2015313886548,1194.7240689131181
P124,omega_2,87.80528479643186,-3073.233312988417,3047.113219341071
P125,omega_2,-3.870162305277672,-4.3327818425872735,-3.317402310556597
P126,omega_2,-2.490322159708253,-3.219266991714198,-1.6489765333034732
P127,omega_2,-2.088158412497809,-2.707977391557673,-1.6333647940769545
P128,omega_2,-3.068482895709256,-3.5671601167720097,-2.583531230010637
P129,omega_2,-4.491050180718709,-337.46515797455265,341.20046880816994
P130,omega_2,-3.590797234672931,-3.9598262874248444,-3.25226297827388
P131,omega_2,-3.857477493407985,-4.2789761830914275,-3.463414488670037
P132,omega_2,-2.698329444411894,-3.1075297935732173,-2.2284728768302062
P133,omega_2,-3.7703855749644695,-4.131793455329706,-3.456965350110661
P134,omega_2,-4.0449996427501125,-4.504302743195254,-3.6173305500441635
P135,omega_2,-0.4722941439208174,-1041.0846411490502,1166.6336400448013
P136,omega_2,0.8772854719562966,-773.0475189484529,840.4233637862467
P137,omega_2,-2.665233136454166,-3.1389212962440682,-2.0607899485069323
P138,omega_2,-4.3345147257130385,-4.696593072364781,-3.971200036938481
P139,omega_2,-2.5860909758974606,-3.0741669659799857,-2.1626285170079025
P140,omega_2,-2.5195293057555697,-3.0536970441967295,-2.0349644052028206
P141,omega_2,-66.19650692458269,-2213.466838678882,2261.471827599268
P142,omega_2,-2.8513357989738584,-3.6068862567551747,-1.9530352744823145
P143,omega_2,-4.425235521301506,-4.9027453251097075,-3.9976761968057035
P144,omega_2,-2.551574576465197,-3.1717409305634434,-2.006871766488986
P145,omega_2,-2.810688024180074,-3.5034986520602507,-2.151608905749644
P146,omega_2,-2.475716458239535,-66.10843403062042,60.67011961281902
P147,omega_2,28.888164369142135,-1683.3615034697314,1591.3066523996085
P148,omega_2,-3.897283438865602,-4.345381915878348,-3.4051770410720525
P149,omega_2,-3.2547385206035466,-80.94313017565635,61.63074655904697
P150,omega_2,-2.9682040902564695,-3.577694301641056,-2.3678767032836103
P151,omega_2,-3.8587801609216217,-4.467554373939283,-3.2194518915909205
P152,omega_2,-4.392378223625965,-4.736688721772183,-4.00148214861692
P153,omega_2,-4.0691448926756095,-4.519376395748589,-3.6520589792194285
P154,omega_2,-3.2028604379726437,-3.6439408646632634,-2.6459849484949425
P155,omega_2,-21.741829850276147,-686.8438036521201,672.5134473823449
P156,omega_2,-17.69953744847306,-1454.867553615039,1384.2546045347572
P157,omega_2,-4.204896937685311,-4.6094563743340355,-3.844524963742065
P158,omega_2,-2.666209244349577,-3.2233780096967912,-2.176404969419065
P159,omega_2,7.907466742887655,-621.5051306409895,589.0040241512979
P000,omega_3,-5.998710803780831,-6.333075873356753,-5.7240626748519565
P001,omega_3,-6.001191137474948,-6.2661582965879825,-5.722986711898532
P002,omega_3,-6.0004343888467275,-6.298069613940632,-5.723907578251989
P003,omega_3,-5.995596874460565,-6.271203490375328,-5.662128454506033
P004,omega_3,-6.001578543617866,-6.436863068653663,-5.564566940402263
P005,omega_3,-6.001658905529223,-6.277751691388438,-5.7486802097211545
P006,omega_3,-6.002269464215598,-6.281712435065805,-5.737276750409392
P007,omega_3,-5.99923079339419,-6.2907120002588925,-5.723979149251582
P008,omega_3,-6.009785032914113,-6.261792993445763,-5.75701215352988
P009,omega_3,-5.998386982524919,-6.282601717414423,-5.737602310175154
P010,omega_3,-6.001700593179708,-6.28734928645191,-5.7185019305445355
P011,omega_3,-6.001932948466329,-6.313591675065008,-5.728998699994344
P012,omega_3,-5.990768847198589,-6.31144287847517,-5.724438260597038
P013,omega_3,-6.010358894477727,-6.301315793661522,-5.760162511039948
P014,omega_3,-5.994296323118755,-6.260712537370424,-5.712369104147293
P015,omega_3,-5.99826861842018,-6.276315661420615,-5.749965733234373
P016,omega_3,-6.007437365847823,-6.281950353970807,-5.7251931805119565
P017,omega_3,-6.002330363044986,-6.266974008393476,-5.755432248246486
