participant_id,parameter,posterior_mean,hdi_low,hdi_high
P014,beta,2.6183917614522496,1.923626855698203,3.4083291176659256
P015,beta,1.7226017777814098,1.2394432574949648,2.2002787800352017
P016,beta,2.37393666864029,1.653528535649489,3.0560107312320683
P017,beta,1.9136662611527768,1.377156527413033,2.4275672199988136
P018,beta,2.18996168202181,1.6012468278142113,2.8076982217777533
P019,beta,2.024769798099632,1.4420444441543239,2.6434324037399
P020,beta,1.5214930153499613,1.1105592541164755,1.901476497063536
P021,beta,1.360861162023813,1.0197821975571388,1.7320015624792064
P022,beta,1.8513746310658694,1.3076507905089934,2.4139359429941214
P023,beta,3.122106318918918,2.231139570031118,4.14126893245679
P024,beta,2.5373417353443,1.804630388868696,3.320050093212614
P025,beta,3.2730299999165244,2.346638619198269,4.183189774196463
P026,beta,2.3227378760479915,1.7059766522234727,3.072417690722313
P027,beta,2.4226714803812532,1.7937645730659735,3.2118329720850105
P028,beta,1.8646842105237436,1.3402199141367523,2.4160487547143927
P029,beta,2.098984121882142,1.4560428156839,2.717898504091829
P030,beta,2.2931491118783427,1.6869601212849359,2.9398460980063286
P031,beta,1.5823494848521364,1.155649605152823,2.0380711448003006
P032,beta,2.8829134177133824,2.1158255478011934,3.7114108413076696
P033,beta,1.3908833728117824,1.0197144262450109,1.7910330811501642
P034,beta,2.146830322655972,1.516365004425408,2.7418853896993367
P035,beta,1.2620003151112853,0.8893492310740561,1.7057440578467722
P036,beta,3.3666455128145074,2.3604367401659703,4.369529336286011
P037,beta,1.7469880038370673,1.210326923810951,2.2519998269838735
P038,beta,1.6182239879794125,1.1293449747951396,2.101032820939385
P039,beta,1.9596565291045185,1.4414846628842026,2.563417244934121
P040,beta,3.5318159263068307,2.564406585368701,4.697588536163281
P041,beta,4.166042169664238,2.8736671673853373,5.6712175738129655
P042,beta,3.7908368811494833,2.736107421016024,5.10829054806674
P043,beta,3.5171899388675705,2.53655765748015,4.586509677755124
P044,beta,3.195651338604162,2.30625457752589,4.282811819997244
P045,beta,3.4072474597980262,2.3824858734825742,4.429349979551794
P046,beta,4.01881003305648,2.6499924491468683,5.209615402383233
P047,beta,2.2625614764227557,1.6446911377172078,2.903959191754465
P048,beta,3.9089406903210033,2.9344358085749116,5.2470707702868875
P049,beta,3.4437823901334226,2.31286787235392,4.561109050269861
P050,beta,2.900338620649633,1.9482979934412215,3.831899584781254
P051,beta,2.6108002081809114,1.849550217507473,3.3481106301287666
P052,beta,4.504066063640482,3.0750949919313046,6.006572219408435
P053,beta,4.425235042960664,3.1041963912105808,5.736809364902151
P054,beta,3.398792697617135,2.444180046300064,4.4722653996132475
P055,beta,3.7584225102261244,2.761528418654359,4.785861534949351
P056,beta,3.5776451948816157,2.633988488501937,4.6242992767042175
P057,beta,4.024603644458391,2.8985131988123545,5.154633370889503
P058,beta,3.23072961424022,2.235030301797188,4.4360104829162275
P059,beta,5.187551967676643,3.5519498905394804,7.115239066829357
P060,beta,3.0207990471770505,2.116362460820591,3.984474776990107
P061,beta,3.08327229074563,2.1146900964409068,4.1476266659309005
P062,beta,5.746883598799047,3.8413820554383684,7.622721057744313
P063,beta,3.725825054812221,2.550992674216362,4.8963008520662665
P064,beta,3.3787938337871273,2.4054363106411967,4.544954189180438
P065,beta,4.94343552352003,3.561762353597999,6.740922859908951
P066,beta,5.103852542526627,3.410623061249058,6.861688658006726
P067,beta,3.4887481647038125,2.470268997812877,4.60243184233871
P068,beta,5.446699609948464,3.516285116070302,7.647145009261825
P069,beta,4.168110737366922,2.936691048448438,5.425547276475005
P070,beta,4.874574734191096,3.3951841555356603,6.314036303863935
P071,beta,3.3703076166359334,2.324178524624473,4.543645181073195
P072,beta,3.2134713574790776,2.2869213325604894,4.163156627274214
P073,beta,3.3846137757750636,2.2925113574873466,4.384734376723129
P074,beta,4.594686091034875,3.210656010621184,6.216341478643373
P075,beta,3.857898310892828,2.736215978687261,5.269506988568442
P076,beta,3.376685349113461,2.2816952943997624,4.4181617614765125
P077,beta,3.476358514026931,2.5388331228352614,4.563371152342333
P078,beta,4.163391486778932,2.906425397395594,5.58955240374687
P079,beta,4.253888734619867,2.9831759589390967,5.4693588260765384
P080,beta,1.7637733962927251,1.264291740686933,2.27339686565686
P081,beta,2.348666343945812,1.747547968890518,2.9670298739250542
P082,beta,2.0954430258024863,1.52710530444604,2.6903762069342294
P083,beta,2.022982452951521,1.460147258068552,2.5919978498237173
P084,beta,2.4904545781520464,1.8355468446481007,3.201443809225315
P085,beta,2.241427425677308,1.6630703583485285,2.8112034510598765
P086,beta,2.992055053785638,2.049801198833964,3.8406985261411277
P087,beta,3.315309164620086,2.450432743112711,4.311460444130925
P088,beta,2.6069908078327857,1.9716109456547941,3.387888470401344
P089,beta,0.9873587666794065,0.7303833076383417,1.258178599863207
P090,beta,1.6522960829511104,1.1831993303031918,2.123679332169766
P091,beta,1.7522785415621829,1.3467308222631866,2.3172275042073642
P092,beta,2.1712663379561308,1.5291630278085087,2.8446605380902885
P093,beta,2.2635551354838546,1.632006362670438,2.9328871217335135
P094,beta,2.3630031648105563,1.7449050220181694,3.038522151069983
P095,beta,1.7219724146099962,1.262079406402022,2.1851989406836094
P096,beta,2.1613529720396745,1.5943728343959398,2.825750096636133
P097,beta,2.0016525976089072,1.4705194790144118,2.5710758171708923
P098,beta,2.348344300131923,1.7195197328913976,3.107701484137222
P099,beta,3.360458023991516,2.2735558852870077,4.210770273359443
P100,beta,2.014311086417904,1.4481149899698316,2.521379806450812
P101,beta,2.590155553775012,1.8473082470333657,3.39210457071174
P102,beta,1.8431472145952614,1.3360782174981605,2.348595708294554
P103,beta,1.8143793790459497,1.3190797370976928,2.291861539956125
P104,beta,1.592896844505861,1.1668813632857993,2.0116158569819325
P105,beta,2.0943031730745667,1.4495570828493138,2.7342952957127853
P106,beta,2.4186225195583253,1.7282553490745016,3.1380378261121527
P107,beta,2.336592602891947,1.535058238829402,3.056261365407146
P108,beta,2.093996657374283,1.5220088701811336,2.706349737897963
P109,beta,1.9930488419877503,1.4332503806946464,2.5324674782723475
P110,beta,2.0858780493355433,1.4999028540970427,2.7346669527582383
P111,beta,1.9135687925440321,1.3104889925579597,2.5582181907153525
P112,beta,2.4639527478864163,1.807290148018966,3.2013625473573075
P113,beta,1.7996662106080104,1.2258470670114618,2.348273797839624
P114,beta,1.8032415475604597,1.299774630894345,2.3674678882300677
P115,beta,1.609021991738,1.2016767737908847,2.1124289456776593
P116,beta,1.8317404666413362,1.3337669788602884,2.3468855336000978
P117,beta,2.0201022835747118,1.5057997998277615,2.582403238689776
P118,beta,2.1195575171496066,1.5476814713985572,2.7653621635845362
P119,beta,1.5448139175431013,1.1444108233911565,1.9331126919137873
P120,beta,3.773243049414611,2.6431565451438304,4.989468842427859
P121,beta,4.346379319298669,2.841560674902123,5.908853434028012
P122,beta,3.2492912804418905,2.3189998975415995,4.232811420615931
P123,beta,5.004489291252015,3.2348595510859646,6.856277694455752
P124,beta,4.537576362073674,3.1465012194468556,6.040313805467704
P125,beta,5.2789473365393045,3.292391631346356,7.058435560340423
P126,beta,2.8402529961271554,2.099861919762253,3.633954239556724
P127,beta,4.923752926617076,3.256560928641263,7.034252053324204
P128,beta,2.7408406140700152,1.90235543359352,3.5372997293695163
P129,beta,4.774936573551702,3.181803756894149,6.282834384472959
P130,beta,3.6547425909598124,2.562987700775042,4.911535574743988
P131,beta,3.9484241674509475,2.850364726640772,5.278230110904365
P132,beta,4.36589859691698,3.0601962432296657,5.783157303940813
P133,beta,2.742652930046483,2.06195132631139,3.6579437686669
P134,beta,5.241107071852462,3.5422022448245207,6.742672228515125
P135,beta,3.612551676038243,2.5935635049083894,4.966215880356582
P136,beta,3.4043880032879468,2.4739198405733154,4.50080539129201
P137,beta,2.477509761191176,1.7937977381956007,3.1320567748329755
P138,beta,2.8170730617189568,2.1056226803192666,3.6375472652352245
P139,beta,3.012886708177578,2.1956840091015217,3.892745478852885
P140,beta,2.9663350884889903,2.23416326527959,3.844132665451421
P141,beta,4.745842237695358,3.2341645968452353,6.256432324385981
P142,beta,4.109619608232504,3.0360144282344987,5.383452331832323
P143,beta,4.200904840971241,2.780590084788133,5.635832665333492
P144,beta,3.180949072392095,2.2990272170924957,4.056909590464611
P145,beta,3.0802050929260556,2.1679680537261157,3.9648642118500157
P146,beta,3.148659652012534,2.2243247479193013,4.040153379241638
P147,beta,3.110269072498953,2.1527112421646106,4.08667469615696
P148,beta,4.291175520347838,2.7794935067409514,5.557998714213282
P149,beta,4.091171410515179,2.7634960738517544,5.468805576467001
P150,beta,4.530411284187426,3.0649815158150298,5.874283574519775
P151,beta,7.462915711768274,4.020629595001167,11.251015297600526
P152,beta,4.1054399767551155,2.812674022562953,5.513502682351785
P153,beta,3.7198120124002294,2.651723804218569,4.845480142802341
P154,beta,4.632191795214823,3.2791570952271965,6.1306214512118355
P155,beta,3.40944155482412,2.3151997787143257,4.467198326223838
P156,beta,3.7230509113573294,2.698303317366641,4.831429662252027
P157,beta,4.627262884094128,3.165348351830047,6.274380511587699
P158,beta,3.8437664621769607,2.579928788491703,5.142231664980938
P159,beta,3.288151364237455,2.3595333944935364,4.276246346706854
