regime,param_vector_id,omega_2,omega_3,kappa,beta,zeta,lambda_hat_qr,lambda_hat_gmsr,max_singular_value,num_trials_sigma_gt_1
round_robin,68,-2.368022090956732,-6.1627947770995695,1.0,2.1457256089122665,0.6102426968528136,-0.013675580138989136,0.000309142536255935,1.7977613074672114,356
round_robin,69,-4.380513965595499,-5.195543883487054,1.0,2.5551615310104405,0.3627370098865448,-0.014106436178155173,-1.1219369161632424e-05,1.0424152261201227,323
round_robin,70,-5.536677867756756,-5.5444760195632234,1.0,3.998214931306304,-0.8804981351798398,-0.014537515724774144,-1.7884950612459538e-05,1.056043471113789,296
round_robin,71,-5.61484696033728,-5.894018884991481,1.0,3.8245034583054203,-0.5097289365387887,-0.01696360315328029,0.00011953420512603558,1.0565701081342889,307
round_robin,72,-2.1375075297082407,-7.758464039984268,1.0,2.805406035691545,-0.722974158180022,-0.01619413806687166,0.0017103432179865414,1.9856391216136333,397
round_robin,73,-5.43155003933931,-2.689048495592724,1.0,2.6746959880658365,0.15734395434854687,-0.01036159166004368,-0.0006881448808032684,1.0552725962126452,313
round_robin,74,-4.471353744361476,-2.6186114753008285,1.0,2.0323856701770957,0.9553255121116289,-0.01084683561719348,-0.0007272196788229519,1.0801627395872797,310
round_robin,75,-4.658402802787889,-7.222517633906392,1.0,3.4075478666736694,-0.9718841453239309,-0.014436766194831389,5.4753102723239314e-05,1.0468593282036938,322
round_robin,76,-4.831010564100927,-2.9250676750706415,1.0,2.129540382135026,-0.054634789616297086,-0.011436740085060272,-0.00022646630022744404,1.0595447243299467,330
round_robin,77,-3.677751259589714,-7.789604686397084,1.0,2.484313401862783,0.3015764020298224,-0.012154499913433585,6.98391293149831e-05,1.061275481328137,324
round_robin,78,-4.453615619793397,-5.132143424282987,1.0,3.6388810059446888,-0.10280370200720834,-0.013710970230738563,-0.00033531036240509434,1.0436597806801549,302
